blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
8.0,246.0,85.0,21.0,43,80.0,9.0,90.0,51.0,32,blue,NA1_4052646311
39.0,163.0,59.0,202.0,89,86.0,245.0,80.0,523.0,25,red,NA1_4051607660
39.0,20.0,103.0,119.0,875,150.0,238.0,517.0,51.0,43,red,NA1_4051274842
17.0,64.0,23.0,45.0,32,92.0,245.0,104.0,523.0,412,blue,NA1_4060819941
114.0,35.0,1.0,96.0,40,23.0,32.0,166.0,222.0,147,blue,NA1_4052691755
164.0,68.0,166.0,523.0,147,266.0,56.0,13.0,22.0,53,blue,NA1_4050376925
106.0,102.0,8.0,21.0,50,67.0,245.0,69.0,81.0,555,blue,NA1_4060372187
114.0,234.0,711.0,101.0,555,78.0,141.0,246.0,67.0,350,red,NA1_4054486650
164.0,141.0,157.0,21.0,26,54.0,203.0,38.0,81.0,40,blue,NA1_4050976421
223.0,28.0,68.0,81.0,80,92.0,245.0,3.0,236.0,497,red,NA1_4058239120
82.0,421.0,142.0,498.0,497,240.0,203.0,711.0,147.0,53,blue,NA1_4061031908
62.0,32.0,38.0,119.0,412,711.0,59.0,875.0,523.0,117,blue,NA1_4052879164
13.0,245.0,246.0,236.0,101,142.0,64.0,54.0,145.0,16,red,NA1_4055710450
114.0,876.0,104.0,236.0,875,10.0,245.0,68.0,51.0,555,red,NA1_4053656848
114.0,28.0,517.0,360.0,12,39.0,11.0,38.0,236.0,37,red,NA1_4056975379
92.0,238.0,236.0,115.0,497,164.0,421.0,7.0,157.0,267,blue,NA1_4052342282
114.0,64.0,23.0,21.0,45,31.0,141.0,518.0,236.0,267,red,NA1_4060657233
23.0,20.0,69.0,236.0,267,42.0,59.0,18.0,523.0,117,red,NA1_4058369063
31.0,421.0,517.0,236.0,43,777.0,20.0,91.0,235.0,267,red,NA1_4060876382
777.0,31.0,61.0,145.0,32,122.0,234.0,112.0,51.0,555,red,NA1_4056103503
114.0,104.0,23.0,360.0,89,33.0,91.0,103.0,67.0,350,red,NA1_4057826768
43.0,32.0,777.0,51.0,25,517.0,246.0,266.0,81.0,12,blue,NA1_4056110994
43.0,427.0,38.0,21.0,37,8.0,234.0,360.0,67.0,147,red,NA1_4054850518
24.0,121.0,7.0,523.0,412,126.0,245.0,711.0,81.0,32,red,NA1_4051359452
59.0,876.0,55.0,203.0,16,240.0,104.0,711.0,236.0,32,blue,NA1_4055995076
150.0,91.0,711.0,81.0,350,92.0,203.0,517.0,22.0,43,red,NA1_4051996435
516.0,59.0,96.0,222.0,350,98.0,104.0,112.0,37.0,16,red,NA1_4053492440
39.0,2.0,27.0,30.0,526,24.0,245.0,112.0,18.0,89,blue,NA1_4056135049
777.0,141.0,157.0,134.0,43,39.0,79.0,268.0,29.0,497,red,NA1_4058634755
875.0,245.0,112.0,29.0,497,82.0,35.0,59.0,147.0,235,red,NA1_4051845257
24.0,2.0,112.0,498.0,89,516.0,107.0,105.0,22.0,555,blue,NA1_4053155097
114.0,234.0,517.0,202.0,99,39.0,64.0,127.0,81.0,89,blue,NA1_4052674770
24.0,113.0,7.0,22.0,26,266.0,245.0,166.0,21.0,267,blue,NA1_4052678843
126.0,234.0,99.0,523.0,35,27.0,246.0,39.0,119.0,101,blue,NA1_4050536069
875.0,104.0,268.0,21.0,25,266.0,121.0,103.0,119.0,16,red,NA1_4052157080
39.0,245.0,126.0,67.0,117,27.0,76.0,4.0,236.0,267,red,NA1_4061163990
39.0,64.0,268.0,360.0,117,266.0,427.0,131.0,119.0,57,red,NA1_4055667159
98.0,59.0,101.0,523.0,412,27.0,141.0,63.0,498.0,711,red,NA1_4058116083
27.0,59.0,55.0,21.0,117,777.0,203.0,268.0,51.0,57,blue,NA1_4052266103
54.0,76.0,91.0,51.0,201,114.0,254.0,517.0,29.0,89,red,NA1_4053867230
777.0,121.0,39.0,81.0,163,164.0,28.0,10.0,51.0,12,blue,NA1_4055735952
43.0,64.0,238.0,202.0,16,42.0,35.0,777.0,51.0,432,red,NA1_4058862299
875.0,2.0,105.0,147.0,45,777.0,203.0,711.0,145.0,16,red,NA1_4055577314
266.0,141.0,7.0,37.0,267,107.0,131.0,3.0,21.0,147,red,NA1_4055385691
164.0,48.0,105.0,81.0,89,58.0,245.0,238.0,711.0,57,red,NA1_4052472663
82.0,48.0,238.0,51.0,59,114.0,33.0,517.0,145.0,111,blue,NA1_4060892389
164.0,30.0,777.0,498.0,89,24.0,91.0,268.0,236.0,497,blue,NA1_4059567905
24.0,238.0,42.0,22.0,117,39.0,5.0,142.0,30.0,111,red,NA1_4050474077
82.0,56.0,711.0,51.0,37,875.0,245.0,1.0,202.0,25,red,NA1_4060075409
875.0,163.0,3.0,236.0,497,24.0,30.0,75.0,555.0,235,red,NA1_4057731772
164.0,120.0,166.0,498.0,103,92.0,238.0,105.0,81.0,147,red,NA1_4057124894
104.0,121.0,245.0,30.0,25,54.0,64.0,711.0,21.0,32,red,NA1_4055290717
6.0,30.0,23.0,119.0,32,19.0,79.0,91.0,166.0,201,blue,NA1_4059276251
54.0,5.0,236.0,202.0,32,41.0,64.0,3.0,96.0,350,blue,NA1_4052871942
1.0,121.0,266.0,96.0,497,777.0,2.0,85.0,29.0,117,blue,NA1_4052019699
126.0,48.0,238.0,45.0,101,92.0,104.0,3.0,202.0,16,red,NA1_4053698109
24.0,59.0,69.0,119.0,111,114.0,64.0,711.0,67.0,117,red,NA1_4052948259
875.0,59.0,3.0,119.0,111,82.0,2.0,38.0,81.0,37,blue,NA1_4052304254
23.0,30.0,91.0,360.0,89,27.0,35.0,711.0,51.0,63,blue,NA1_4052989237
92.0,20.0,126.0,236.0,12,114.0,48.0,517.0,21.0,412,red,NA1_4052710361
17.0,64.0,711.0,360.0,32,75.0,76.0,134.0,15.0,555,red,NA1_4058056705
24.0,28.0,777.0,523.0,32,78.0,113.0,55.0,360.0,12,red,NA1_4054942198
114.0,246.0,131.0,81.0,111,83.0,64.0,711.0,202.0,161,blue,NA1_4060866053
17.0,5.0,105.0,202.0,53,57.0,106.0,246.0,203.0,63,red,NA1_4056111378
711.0,64.0,91.0,51.0,37,10.0,5.0,875.0,429.0,412,blue,NA1_4058672578
164.0,28.0,166.0,115.0,53,68.0,421.0,238.0,81.0,37,red,NA1_4053190886
17.0,104.0,75.0,236.0,267,82.0,234.0,711.0,523.0,117,red,NA1_4054903251
31.0,104.0,75.0,51.0,32,27.0,91.0,1.0,29.0,350,blue,NA1_4057328918
23.0,79.0,91.0,67.0,35,164.0,5.0,127.0,81.0,40,red,NA1_4061145714
14.0,9.0,777.0,145.0,12,164.0,141.0,38.0,110.0,40,blue,NA1_4056016939
27.0,2.0,777.0,67.0,350,6.0,9.0,166.0,119.0,12,red,NA1_4058727113
131.0,59.0,122.0,81.0,350,84.0,238.0,234.0,498.0,32,blue,NA1_4053920865
164.0,163.0,112.0,222.0,267,24.0,427.0,777.0,50.0,111,red,NA1_4054166261
266.0,2.0,61.0,119.0,16,85.0,876.0,3.0,157.0,89,red,NA1_4056612560
875.0,59.0,45.0,51.0,89,86.0,421.0,63.0,119.0,53,blue,NA1_4052735902
24.0,245.0,55.0,18.0,63,266.0,131.0,777.0,360.0,32,blue,NA1_4055793188
85.0,238.0,55.0,67.0,267,17.0,64.0,105.0,81.0,350,blue,NA1_4059591062
150.0,121.0,7.0,22.0,267,84.0,91.0,777.0,21.0,37,blue,NA1_4055681259
69.0,5.0,166.0,222.0,201,17.0,64.0,75.0,523.0,98,red,NA1_4058210193
777.0,141.0,555.0,115.0,26,266.0,20.0,1.0,119.0,12,blue,NA1_4052965691
67.0,141.0,85.0,81.0,16,24.0,246.0,711.0,22.0,111,red,NA1_4051885730
164.0,107.0,38.0,202.0,350,6.0,245.0,134.0,22.0,3,red,NA1_4053162840
887.0,91.0,1.0,202.0,34,78.0,35.0,112.0,236.0,267,blue,NA1_4054832596
106.0,20.0,42.0,18.0,25,43.0,203.0,777.0,145.0,412,red,NA1_4060479726
17.0,245.0,777.0,202.0,555,6.0,203.0,23.0,29.0,40,blue,NA1_4054705891
98.0,876.0,61.0,29.0,12,887.0,2.0,84.0,236.0,53,red,NA1_4061024164
107.0,5.0,7.0,523.0,117,17.0,48.0,166.0,21.0,89,red,NA1_4054290568
240.0,91.0,711.0,498.0,497,82.0,141.0,68.0,236.0,48,blue,NA1_4053302983
875.0,64.0,45.0,21.0,432,62.0,234.0,1.0,145.0,89,blue,NA1_4056648259
32.0,59.0,3.0,15.0,412,114.0,28.0,555.0,21.0,48,blue,NA1_4051990827
16.0,245.0,777.0,145.0,117,266.0,104.0,4.0,202.0,267,red,NA1_4051387125
777.0,104.0,3.0,81.0,37,240.0,64.0,711.0,202.0,25,blue,NA1_4054123552
