blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
82.0,91.0,3.0,119.0,497,266.0,59.0,55.0,202.0,43,red,NA1_4051602230
150.0,121.0,517.0,236.0,267,85.0,234.0,246.0,51.0,555,red,NA1_4056606173
39.0,154.0,4.0,119.0,526,92.0,64.0,142.0,145.0,26,blue,NA1_4059012162
164.0,56.0,777.0,81.0,147,516.0,121.0,7.0,18.0,412,red,NA1_4060325495
24.0,104.0,55.0,145.0,526,39.0,246.0,131.0,67.0,37,blue,NA1_4057339223
92.0,102.0,7.0,236.0,267,39.0,30.0,18.0,145.0,32,blue,NA1_4056603995
24.0,20.0,45.0,202.0,143,875.0,121.0,3.0,119.0,350,blue,NA1_4060241104
39.0,121.0,3.0,498.0,711,240.0,163.0,254.0,234.0,555,red,NA1_4055599182
1.0,35.0,105.0,222.0,267,85.0,203.0,157.0,119.0,16,blue,NA1_4060096006
114.0,245.0,246.0,81.0,53,42.0,104.0,517.0,67.0,57,blue,NA1_4051960465
27.0,5.0,61.0,110.0,235,114.0,254.0,238.0,21.0,32,red,NA1_4053700352
223.0,246.0,91.0,202.0,412,114.0,35.0,142.0,81.0,201,red,NA1_4059128489
122.0,64.0,112.0,21.0,412,92.0,5.0,55.0,119.0,16,red,NA1_4060540573
92.0,76.0,103.0,429.0,53,68.0,141.0,711.0,222.0,350,blue,NA1_4058283284
164.0,121.0,13.0,18.0,555,875.0,876.0,23.0,236.0,26,blue,NA1_4050551843
266.0,32.0,41.0,202.0,40,164.0,91.0,517.0,115.0,48,red,NA1_4053186703
6.0,9.0,777.0,236.0,201,36.0,876.0,3.0,21.0,32,red,NA1_4054969456
875.0,91.0,69.0,236.0,267,54.0,876.0,777.0,202.0,63,blue,NA1_4061206353
80.0,64.0,105.0,222.0,412,266.0,876.0,131.0,202.0,432,blue,NA1_4053104126
164.0,121.0,3.0,21.0,16,92.0,30.0,39.0,145.0,53,red,NA1_4058095773
164.0,28.0,711.0,360.0,111,39.0,876.0,238.0,51.0,26,blue,NA1_4052844364
164.0,56.0,34.0,51.0,555,41.0,59.0,10.0,67.0,12,red,NA1_4054689151
876.0,246.0,1.0,202.0,40,164.0,20.0,711.0,29.0,25,red,NA1_4050893167
23.0,104.0,69.0,51.0,16,157.0,64.0,711.0,22.0,32,red,NA1_4060183249
6.0,246.0,79.0,236.0,32,266.0,203.0,134.0,18.0,16,blue,NA1_4054932561
266.0,2.0,238.0,134.0,37,39.0,9.0,105.0,81.0,3,blue,NA1_4056644046
92.0,120.0,10.0,222.0,161,24.0,35.0,68.0,360.0,111,red,NA1_4052649910
24.0,9.0,246.0,21.0,143,266.0,104.0,55.0,18.0,16,blue,NA1_4059561678
122.0,203.0,105.0,15.0,267,98.0,163.0,84.0,21.0,63,red,NA1_4058150516
24.0,64.0,27.0,115.0,412,59.0,30.0,131.0,81.0,201,blue,NA1_4060719689
85.0,2.0,777.0,30.0,3,24.0,876.0,23.0,50.0,89,blue,NA1_4060692836
31.0,234.0,103.0,21.0,412,516.0,238.0,96.0,22.0,555,red,NA1_4051052793
59.0,120.0,245.0,51.0,37,41.0,203.0,103.0,21.0,43,blue,NA1_4060554269
39.0,28.0,64.0,523.0,16,875.0,234.0,127.0,236.0,497,blue,NA1_4052753707
57.0,121.0,711.0,81.0,40,23.0,64.0,112.0,21.0,45,blue,NA1_4060713319
17.0,120.0,166.0,30.0,53,875.0,28.0,8.0,50.0,89,blue,NA1_4061227199
114.0,64.0,711.0,81.0,163,82.0,141.0,238.0,145.0,555,blue,NA1_4054907629
98.0,104.0,245.0,119.0,111,17.0,421.0,92.0,166.0,117,red,NA1_4052289630
86.0,5.0,69.0,53.0,203,80.0,11.0,13.0,22.0,16,blue,NA1_4057930175
92.0,35.0,101.0,119.0,40,42.0,59.0,711.0,21.0,32,blue,NA1_4059365555
126.0,30.0,20.0,236.0,432,6.0,64.0,711.0,202.0,43,red,NA1_4061319079
41.0,203.0,39.0,134.0,85,92.0,76.0,80.0,67.0,117,red,NA1_4051336444
75.0,876.0,203.0,51.0,53,875.0,234.0,13.0,523.0,412,blue,NA1_4059468285
27.0,79.0,157.0,202.0,147,92.0,876.0,62.0,236.0,26,blue,NA1_4055718078
875.0,141.0,38.0,42.0,163,31.0,64.0,238.0,222.0,43,red,NA1_4055522364
516.0,141.0,99.0,15.0,16,164.0,876.0,3.0,81.0,37,blue,NA1_4054673414
