blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
23.0,68.0,105.0,29.0,43,875.0,245.0,126.0,202.0,555,blue,NA1_4055934637
54.0,141.0,45.0,21.0,517,17.0,9.0,246.0,81.0,32,blue,NA1_4054584551
240.0,59.0,34.0,21.0,497,58.0,876.0,18.0,145.0,350,blue,NA1_4054455719
62.0,876.0,96.0,236.0,267,14.0,9.0,119.0,110.0,16,red,NA1_4051387636
223.0,64.0,55.0,236.0,12,82.0,59.0,3.0,67.0,53,red,NA1_4054921949
266.0,59.0,517.0,81.0,37,150.0,64.0,112.0,67.0,16,blue,NA1_4054000109
43.0,104.0,50.0,236.0,267,875.0,28.0,777.0,498.0,16,blue,NA1_4057942659
223.0,59.0,8.0,202.0,432,122.0,203.0,142.0,145.0,350,red,NA1_4057232989
223.0,141.0,517.0,523.0,37,92.0,68.0,3.0,21.0,875,red,NA1_4052611222
14.0,203.0,8.0,21.0,161,85.0,28.0,238.0,147.0,37,red,NA1_4060762198
517.0,141.0,238.0,21.0,143,85.0,163.0,777.0,236.0,267,blue,NA1_4058026507
50.0,59.0,127.0,21.0,26,875.0,876.0,34.0,81.0,25,red,NA1_4050896607
107.0,245.0,777.0,119.0,12,142.0,121.0,80.0,203.0,497,red,NA1_4058688789
107.0,64.0,75.0,115.0,43,39.0,163.0,238.0,119.0,111,blue,NA1_4057749390
86.0,9.0,777.0,236.0,526,92.0,121.0,517.0,45.0,16,blue,NA1_4055732215
84.0,35.0,75.0,67.0,29,69.0,5.0,55.0,21.0,147,red,NA1_4050739382
164.0,154.0,112.0,21.0,35,39.0,20.0,517.0,22.0,267,blue,NA1_4056134735
85.0,141.0,157.0,222.0,43,266.0,59.0,13.0,236.0,37,red,NA1_4053654431
875.0,141.0,711.0,81.0,26,39.0,64.0,68.0,145.0,89,blue,NA1_4053722332
68.0,104.0,711.0,202.0,32,266.0,30.0,105.0,236.0,267,blue,NA1_4055083944
266.0,59.0,3.0,202.0,43,85.0,203.0,67.0,51.0,40,blue,NA1_4058709693
82.0,59.0,75.0,110.0,26,68.0,104.0,238.0,51.0,235,blue,NA1_4057229437
875.0,421.0,105.0,26.0,37,41.0,246.0,711.0,145.0,432,blue,NA1_4052390641
164.0,59.0,69.0,115.0,3,48.0,64.0,517.0,30.0,40,blue,NA1_4060083876
517.0,59.0,238.0,81.0,53,875.0,120.0,134.0,523.0,412,red,NA1_4060467104
777.0,5.0,84.0,81.0,37,164.0,238.0,105.0,236.0,497,red,NA1_4051989951
6.0,91.0,134.0,18.0,3,164.0,102.0,68.0,523.0,53,red,NA1_4056636209
420.0,121.0,4.0,21.0,37,875.0,91.0,711.0,202.0,235,red,NA1_4053980726
36.0,120.0,7.0,222.0,526,876.0,203.0,105.0,202.0,32,blue,NA1_4058734664
62.0,234.0,238.0,115.0,350,54.0,102.0,18.0,360.0,526,blue,NA1_4057760974
266.0,9.0,13.0,21.0,555,62.0,104.0,131.0,51.0,25,red,NA1_4053393132
78.0,121.0,3.0,523.0,40,68.0,5.0,1.0,145.0,111,red,NA1_4050399318
777.0,104.0,711.0,67.0,32,27.0,59.0,6.0,119.0,201,blue,NA1_4055594061
31.0,104.0,777.0,711.0,412,150.0,245.0,238.0,22.0,143,red,NA1_4055759808
875.0,35.0,55.0,21.0,12,6.0,121.0,34.0,147.0,89,blue,NA1_4055711737
36.0,120.0,38.0,119.0,16,59.0,876.0,3.0,67.0,32,red,NA1_4055910887
127.0,5.0,711.0,21.0,235,164.0,120.0,99.0,51.0,25,blue,NA1_4057323656
234.0,421.0,875.0,81.0,350,39.0,59.0,25.0,21.0,111,red,NA1_4057965182
39.0,887.0,777.0,22.0,40,62.0,59.0,42.0,236.0,37,red,NA1_4060650452
266.0,104.0,91.0,30.0,26,164.0,5.0,203.0,81.0,32,blue,NA1_4050741509
875.0,203.0,42.0,147.0,432,82.0,131.0,777.0,81.0,497,red,NA1_4056694363
92.0,121.0,84.0,81.0,350,76.0,104.0,166.0,202.0,101,blue,NA1_4051388222
150.0,64.0,20.0,202.0,17,164.0,163.0,34.0,166.0,497,red,NA1_4061266579
24.0,11.0,3.0,236.0,37,59.0,91.0,69.0,18.0,29,red,NA1_4056786646
